manifacturer/String,model/String,year/double,fuel/String,hp/double,doors/double,transition/String,category/String,size/String,style/String,price/double
BMW,1 Series,2011,premium,300,6,MANUAL,Performance,Compact,Convertible,40650
BMW,1 Series,2011,premium,300,6,MANUAL,High-Performance,Compact,Coupe,36350
BMW,1 Series,2011,premium,230,6,MANUAL,Performance,Compact,Coupe,29450
BMW,1 Series,2011,premium,230,6,MANUAL,lux,Compact,Convertible,34500
BMW,1 Series,2012,premium,230,6,MANUAL,Performance,Compact,Coupe,31200
BMW,1 Series,2012,premium,300,6,MANUAL,Performance,Compact,Convertible,44100
BMW,1 Series,2012,premium,300,6,MANUAL,High-Performance,Compact,Coupe,39300
BMW,1 Series,2012,premium,230,6,MANUAL,lux,Compact,Convertible,36900
BMW,1 Series,2013,premium,230,6,MANUAL,lux,Compact,Convertible,37200
BMW,1 Series,2013,premium,300,6,MANUAL,High-Performance,Compact,Coupe,39600
BMW,1 Series,2013,premium,230,6,MANUAL,Performance,Compact,Coupe,31500
BMW,1 Series,2013,premium,300,6,MANUAL,Performance,Compact,Convertible,44400
BMW,1 Series,2013,premium,230,6,MANUAL,lux,Compact,Convertible,37200
BMW,1 Series,2013,premium,230,6,MANUAL,Performance,Compact,Coupe,31500
BMW,1 Series,2013,premium,320,6,MANUAL,High-Performance,Compact,Convertible,48250
BMW,1 Series,2013,premium,320,6,MANUAL,High-Performance,Compact,Coupe,43550
Audi,100,1992,regular,172,6,MANUAL,lux,Midsize,Sedan,2000
Audi,100,1992,regular,172,6,MANUAL,lux,Midsize,Sedan,2000
Audi,100,1992,regular,172,6,AUTOMATIC,lux,Midsize,Wagon,2000
Audi,100,1992,regular,172,6,MANUAL,lux,Midsize,Sedan,2000
Audi,100,1992,regular,172,6,MANUAL,lux,Midsize,Sedan,2000
Audi,100,1993,regular,172,6,MANUAL,lux,Midsize,Sedan,2000
Audi,100,1993,regular,172,6,AUTOMATIC,lux,Midsize,Wagon,2000
Audi,100,1993,regular,172,6,MANUAL,lux,Midsize,Sedan,2000
Audi,100,1993,regular,172,6,MANUAL,lux,Midsize,Sedan,2000
Audi,100,1993,regular,172,6,MANUAL,lux,Midsize,Sedan,2000
Audi,100,1994,regular,172,6,AUTOMATIC,lux,Midsize,Wagon,2000
Audi,100,1994,regular,172,6,MANUAL,lux,Midsize,Sedan,2000
Audi,100,1994,regular,172,6,MANUAL,lux,Midsize,Sedan,2000
Audi,100,1994,regular,172,6,AUTOMATIC,lux,Midsize,Sedan,2000
Audi,100,1994,regular,172,6,AUTOMATIC,lux,Midsize,Wagon,2000
FIAT,124 Spider,2017,premium,160,4,MANUAL,Performance,Compact,Convertible,27495
FIAT,124 Spider,2017,premium,160,4,MANUAL,Performance,Compact,Convertible,24995
FIAT,124 Spider,2017,premium,160,4,MANUAL,Performance,Compact,Convertible,28195
Mercedes-Benz,190-Class,1991,regular,130,4,MANUAL,lux,Compact,Sedan,2000
Mercedes-Benz,190-Class,1991,regular,158,6,MANUAL,lux,Compact,Sedan,2000
Mercedes-Benz,190-Class,1992,regular,158,6,MANUAL,lux,Compact,Sedan,2000
Mercedes-Benz,190-Class,1992,regular,130,4,MANUAL,lux,Compact,Sedan,2000
Mercedes-Benz,190-Class,1993,regular,130,4,MANUAL,lux,Compact,Sedan,2000
Mercedes-Benz,190-Class,1993,regular,158,6,MANUAL,lux,Compact,Sedan,2000
BMW,2 Series,2016,premium,240,4,AUTOMATIC,Performance,Compact,Coupe,32850
BMW,2 Series,2016,premium,240,4,AUTOMATIC,lux,Compact,Convertible,38650
BMW,2 Series,2016,premium,320,6,AUTOMATIC,lux,Compact,Convertible,48750
BMW,2 Series,2016,premium,240,4,AUTOMATIC,Performance,Compact,Coupe,34850
BMW,2 Series,2016,premium,240,4,AUTOMATIC,lux,Compact,Convertible,40650
BMW,2 Series,2016,premium,320,6,AUTOMATIC,lux,Compact,Coupe,44150
BMW,2 Series,2016,premium,240,4,MANUAL,Performance,Compact,Coupe,32850
BMW,2 Series,2016,premium,320,6,AUTOMATIC,lux,Compact,Coupe,46150
BMW,2 Series,2016,premium,320,6,AUTOMATIC,lux,Compact,Convertible,50750
BMW,2 Series,2017,premium,335,6,AUTOMATIC,lux,Compact,Coupe,46450
BMW,2 Series,2017,premium,335,6,AUTOMATIC,lux,Compact,Convertible,49050
BMW,2 Series,2017,premium,335,6,AUTOMATIC,lux,Compact,Convertible,51050
BMW,2 Series,2017,premium,335,6,AUTOMATIC,lux,Compact,Coupe,44450
BMW,2 Series,2017,premium,248,4,AUTOMATIC,Performance,Compact,Convertible,38950
BMW,2 Series,2017,premium,248,4,AUTOMATIC,Performance,Compact,Coupe,33150
BMW,2 Series,2017,premium,248,4,AUTOMATIC,Performance,Compact,Coupe,35150
BMW,2 Series,2017,premium,248,4,AUTOMATIC,lux,Compact,Convertible,40950
Audi,200,1990,regular,162,5,AUTOMATIC,lux,Midsize,Sedan,2000
Audi,200,1990,regular,162,5,MANUAL,lux,Midsize,Wagon,2000
Audi,200,1990,regular,162,5,MANUAL,lux,Midsize,Sedan,2000
Audi,200,1991,regular,217,5,MANUAL,Performance,Midsize,Sedan,2000
Audi,200,1991,regular,217,5,MANUAL,Performance,Midsize,Wagon,2000
Audi,200,1991,regular,162,5,AUTOMATIC,lux,Midsize,Sedan,2000
Chrysler,200,2015,flex,184,4,AUTOMATIC,Crossover,Midsize,Sedan,25170
Chrysler,200,2015,flex,184,4,AUTOMATIC,Crossover,Midsize,Sedan,23950
Chrysler,200,2015,flex,295,6,AUTOMATIC,Performance,Midsize,Sedan,29370
Chrysler,200,2015,flex,184,4,AUTOMATIC,Crossover,Midsize,Sedan,21995
Chrysler,200,2015,flex,184,4,AUTOMATIC,Performance,Midsize,Sedan,26625
Chrysler,200,2015,flex,295,6,AUTOMATIC,Performance,Midsize,Sedan,30825
Chrysler,200,2016,flex,184,4,AUTOMATIC,Crossover,Midsize,Sedan,21995
Chrysler,200,2016,flex,184,4,AUTOMATIC,Crossover,Midsize,Sedan,27795
Chrysler,200,2016,flex,295,6,AUTOMATIC,Performance,Midsize,Sedan,31785
Chrysler,200,2016,flex,295,6,AUTOMATIC,Performance,Midsize,Sedan,29905
Chrysler,200,2016,flex,184,4,AUTOMATIC,Crossover,Midsize,Sedan,22490
Chrysler,200,2016,flex,184,4,AUTOMATIC,Crossover,Midsize,Sedan,27570
Chrysler,200,2016,flex,184,4,AUTOMATIC,Crossover,Midsize,Sedan,25690
Chrysler,200,2016,flex,184,4,AUTOMATIC,Crossover,Midsize,Sedan,24490
Chrysler,200,2017,flex,295,6,AUTOMATIC,Performance,Midsize,Sedan,29905
Chrysler,200,2017,flex,295,6,AUTOMATIC,Performance,Midsize,Sedan,31785
Chrysler,200,2017,flex,184,4,AUTOMATIC,Crossover,Midsize,Sedan,26685
Chrysler,200,2017,flex,184,4,AUTOMATIC,Crossover,Midsize,Sedan,22490
Chrysler,200,2017,flex,184,4,AUTOMATIC,Crossover,Midsize,Sedan,25690
Chrysler,200,2017,flex,295,6,AUTOMATIC,Performance,Midsize,Sedan,30900
Chrysler,200,2017,flex,184,4,AUTOMATIC,Crossover,Midsize,Sedan,27795
Chrysler,200,2017,flex,184,4,AUTOMATIC,Crossover,Midsize,Sedan,21995
Chrysler,200,2017,flex,184,4,AUTOMATIC,Crossover,Midsize,Sedan,24490
Nissan,200SX,1996,regular,115,4,MANUAL,none,Compact,Coupe,2000
Nissan,200SX,1996,regular,115,4,MANUAL,none,Compact,Coupe,2000
Nissan,200SX,1996,regular,140,4,MANUAL,Performance,Compact,Coupe,2000
Nissan,200SX,1997,regular,140,4,MANUAL,Performance,Compact,Coupe,2000
Nissan,200SX,1997,regular,115,4,MANUAL,none,Compact,Coupe,2000
Nissan,200SX,1997,regular,115,4,MANUAL,none,Compact,Coupe,2000
Nissan,200SX,1998,regular,115,4,MANUAL,none,Compact,Coupe,2000
Nissan,200SX,1998,regular,115,4,MANUAL,none,Compact,Coupe,2000
Nissan,200SX,1998,regular,140,4,MANUAL,Performance,Compact,Coupe,2073
Nissan,240SX,1996,regular,155,4,MANUAL,Performance,Compact,Coupe,3713
Nissan,240SX,1996,regular,155,4,MANUAL,Performance,Compact,Coupe,3520
Nissan,240SX,1997,regular,155,4,MANUAL,Performance,Compact,Coupe,3910
Nissan,240SX,1997,regular,155,4,MANUAL,Performance,Compact,Coupe,4182
Nissan,240SX,1997,regular,155,4,MANUAL,Performance,Compact,Coupe,4107
Nissan,240SX,1998,regular,155,4,MANUAL,Performance,Compact,Coupe,4299
Nissan,240SX,1998,regular,155,4,MANUAL,Performance,Compact,Coupe,4693
Nissan,240SX,1998,regular,155,4,MANUAL,Performance,Compact,Coupe,4107
Volvo,240,1991,regular,114,4,MANUAL,lux,Midsize,Wagon,2000
Volvo,240,1991,regular,114,4,AUTOMATIC,lux,Midsize,Wagon,2000
Volvo,240,1991,regular,114,4,MANUAL,lux,Midsize,Sedan,2000
Volvo,240,1992,regular,114,4,MANUAL,lux,Midsize,Sedan,2000
Volvo,240,1992,regular,114,4,MANUAL,lux,Midsize,Wagon,2000
Volvo,240,1992,regular,114,4,MANUAL,lux,Midsize,Sedan,2000
Volvo,240,1993,regular,114,4,MANUAL,lux,Midsize,Sedan,2000
Volvo,240,1993,regular,114,4,MANUAL,lux,Midsize,Wagon,2000
Mazda,2,2012,regular,100,4,MANUAL,Hatchback,Compact,4dr Hatchback,16020
Mazda,2,2012,regular,100,4,MANUAL,Hatchback,Compact,4dr Hatchback,14530
Mazda,2,2012,regular,100,4,AUTOMATIC,Hatchback,Compact,4dr Hatchback,16860
Mazda,2,2012,regular,100,4,AUTOMATIC,Hatchback,Compact,4dr Hatchback,15370
Mazda,2,2013,regular,100,4,AUTOMATIC,Hatchback,Compact,4dr Hatchback,17050
Mazda,2,2013,regular,100,4,AUTOMATIC,Hatchback,Compact,4dr Hatchback,15560
Mazda,2,2013,regular,100,4,MANUAL,Hatchback,Compact,4dr Hatchback,16210
Mazda,2,2013,regular,100,4,MANUAL,Hatchback,Compact,4dr Hatchback,14720
Mazda,2,2014,regular,100,4,AUTOMATIC,Hatchback,Compact,4dr Hatchback,17050
Mazda,2,2014,regular,100,4,AUTOMATIC,Hatchback,Compact,4dr Hatchback,15560
Mazda,2,2014,regular,100,4,MANUAL,Hatchback,Compact,4dr Hatchback,16210
Mazda,2,2014,regular,100,4,MANUAL,Hatchback,Compact,4dr Hatchback,14720
BMW,3 Series Gran Turismo,2015,premium,300,6,AUTOMATIC,Hatchback,Midsize,4dr Hatchback,47250
BMW,3 Series Gran Turismo,2015,premium,240,4,AUTOMATIC,Hatchback,Midsize,4dr Hatchback,41850
BMW,3 Series Gran Turismo,2015,premium,240,4,AUTOMATIC,Hatchback,Midsize,4dr Hatchback,41850
BMW,3 Series Gran Turismo,2016,premium,240,4,AUTOMATIC,Hatchback,Midsize,4dr Hatchback,43000
BMW,3 Series Gran Turismo,2016,premium,300,6,AUTOMATIC,Hatchback,Midsize,4dr Hatchback,49200
BMW,3 Series Gran Turismo,2017,premium,320,6,AUTOMATIC,Hatchback,Midsize,4dr Hatchback,49650
BMW,3 Series Gran Turismo,2017,premium,248,4,AUTOMATIC,Hatchback,Midsize,4dr Hatchback,43950
BMW,3 Series,2015,premium,241,4,AUTOMATIC,lux,Midsize,Wagon,41950
BMW,3 Series,2015,premium,335,6,AUTOMATIC,Hybrid,Midsize,Sedan,50150
BMW,3 Series,2015,premium,240,4,AUTOMATIC,Performance,Midsize,Sedan,37500
BMW,3 Series,2015,premium,300,6,AUTOMATIC,High-Performance,Midsize,Sedan,43750
BMW,3 Series,2015,diesel,180,4,AUTOMATIC,Diesel,Midsize,Sedan,39000
BMW,3 Series,2015,premium,240,4,AUTOMATIC,lux,Midsize,Sedan,39500
BMW,3 Series,2015,premium,240,4,AUTOMATIC,lux,Midsize,Sedan,39500
BMW,3 Series,2015,premium,180,4,AUTOMATIC,lux,Midsize,Sedan,34950
BMW,3 Series,2015,premium,300,6,AUTOMATIC,Performance,Midsize,Sedan,45750
BMW,3 Series,2015,diesel,180,4,AUTOMATIC,Diesel,Midsize,Wagon,43450
BMW,3 Series,2015,premium,240,4,AUTOMATIC,Performance,Midsize,Sedan,37500
BMW,3 Series,2015,diesel,180,4,AUTOMATIC,Diesel,Midsize,Sedan,41000
BMW,3 Series,2015,premium,180,4,AUTOMATIC,lux,Midsize,Sedan,32950
BMW,3 Series,2016,diesel,180,4,AUTOMATIC,Diesel,Midsize,Sedan,41850
BMW,3 Series,2016,premium,320,6,AUTOMATIC,High-Performance,Midsize,Sedan,47800
BMW,3 Series,2016,diesel,180,4,AUTOMATIC,Diesel,Midsize,Sedan,39850
BMW,3 Series,2016,premium,240,4,AUTOMATIC,Performance,Midsize,Sedan,38350
